HH_NUM,SOCEC,CITY,PER_DESCcounter,CONFIGcounter,HOME_APPcounter,PETS_RECcounter,HH_INSTAcounter,HH_SIZEcounter,PER_NUM,AGE,SEX,REL_TO_HOH,WT_TYPE,DROPPED,PER_MIT,OCCUPATION,EDUCATION,UNIT_NUM,PROVIDER,CABLE_TV,PARA_ANT,sum[BW_TVCOLOR_TV],PROVEDOR_DE_CABLE,COLOR_TV,RADIO,TELEPHONE,SAMP_ST_D,N_PER
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,3,2,3,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230803,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
100030,2,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,23,1,1,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,54,2,3,1,0,2,4,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,2,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230807,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
100031,2,1,4,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,53,2,2,1,0,1,2,7,,,,,,,,,,,
,,,,,,,,,2,34,2,4,1,0,2,1,6,,,,,,,,,,,
,,,,,,,,,3,10,2,4,1,0,3,1,2,,,,,,,,,,,
,,,,,,,,,4,2,1,5,1,0,4,5,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230809,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
100032,1,1,5,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,38,1,1,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,32,2,3,1,0,2,4,5,,,,,,,,,,,
